count	tp	fp	tn	fn	case	gene
39	1	0	364	37	BMweightsP	or5
39	1	0	364	37	PDweightsP	or5
40	2	0	394	28	truealn	or5
40	2	0	394	28	refaln	or5
40	2	0	394	28	Guidance	or5
40	2	0	394	28	GuidanceP	or5
40	2	0	394	28	BMweights	or5
40	2	0	394	28	PDweights	or5
40	2	0	394	28	BMweightsP	or5
40	2	0	394	28	PDweightsP	or5
41	4	0	375	31	truealn	or5
41	4	0	375	31	refaln	or5
41	4	0	375	31	Guidance	or5
41	4	0	375	31	GuidanceP	or5
41	4	0	375	31	BMweights	or5
41	4	0	375	31	PDweights	or5
41	4	0	375	31	BMweightsP	or5
41	4	0	375	31	PDweightsP	or5
42	4	0	374	33	truealn	or5
42	3	0	374	34	refaln	or5
42	3	0	374	34	Guidance	or5
42	3	0	374	34	GuidanceP	or5
42	3	0	374	34	BMweights	or5
42	3	0	374	34	PDweights	or5
42	3	0	374	34	BMweightsP	or5
42	2	0	374	35	PDweightsP	or5
43	5	0	378	22	truealn	or5
43	1	0	378	26	refaln	or5
43	1	0	378	26	Guidance	or5
43	1	0	378	26	GuidanceP	or5
43	1	0	378	26	BMweights	or5
43	1	0	378	26	PDweights	or5
43	1	0	378	26	BMweightsP	or5
43	1	0	378	26	PDweightsP	or5
44	2	0	393	26	truealn	or5
44	1	2	391	27	refaln	or5
44	1	2	391	27	Guidance	or5
44	1	1	392	27	GuidanceP	or5
44	1	2	391	27	BMweights	or5
44	1	2	391	27	PDweights	or5
44	2	1	392	26	BMweightsP	or5
44	2	1	392	26	PDweightsP	or5
45	4	0	369	33	truealn	or5
45	1	0	369	36	refaln	or5
45	3	0	369	34	Guidance	or5
45	3	0	369	34	GuidanceP	or5
45	3	0	369	34	BMweights	or5
45	3	0	369	34	PDweights	or5
45	3	0	369	34	BMweightsP	or5
45	3	0	369	34	PDweightsP	or5
46	1	0	378	31	truealn	or5
46	0	1	377	32	refaln	or5
46	0	1	377	32	Guidance	or5
46	0	1	377	32	GuidanceP	or5
