count	cutoff	tprate	fprate	case	penal	gene	method
0	0.69	0.411764705882	0.0	GuidanceP	yes	prk	paml
0	0.7	0.411764705882	0.0	GuidanceP	yes	prk	paml
0	0.71	0.411764705882	0.0	GuidanceP	yes	prk	paml
0	0.72	0.411764705882	0.0	GuidanceP	yes	prk	paml
0	0.73	0.411764705882	0.0	GuidanceP	yes	prk	paml
0	0.74	0.411764705882	0.0	GuidanceP	yes	prk	paml
0	0.75	0.411764705882	0.0	GuidanceP	yes	prk	paml
0	0.76	0.411764705882	0.0	GuidanceP	yes	prk	paml
0	0.77	0.411764705882	0.0	GuidanceP	yes	prk	paml
0	0.78	0.411764705882	0.0	GuidanceP	yes	prk	paml
0	0.79	0.411764705882	0.0	GuidanceP	yes	prk	paml
0	0.8	0.411764705882	0.0	GuidanceP	yes	prk	paml
0	0.81	0.411764705882	0.0	GuidanceP	yes	prk	paml
0	0.82	0.411764705882	0.0	GuidanceP	yes	prk	paml
0	0.83	0.411764705882	0.0	GuidanceP	yes	prk	paml
0	0.84	0.411764705882	0.0	GuidanceP	yes	prk	paml
0	0.85	0.382352941176	0.0	GuidanceP	yes	prk	paml
0	0.86	0.382352941176	0.0	GuidanceP	yes	prk	paml
0	0.87	0.382352941176	0.0	GuidanceP	yes	prk	paml
0	0.88	0.382352941176	0.0	GuidanceP	yes	prk	paml
0	0.89	0.382352941176	0.0	GuidanceP	yes	prk	paml
0	0.9	0.323529411765	0.0	GuidanceP	yes	prk	paml
0	0.91	0.323529411765	0.0	GuidanceP	yes	prk	paml
0	0.92	0.323529411765	0.0	GuidanceP	yes	prk	paml
0	0.93	0.323529411765	0.0	GuidanceP	yes	prk	paml
0	0.94	0.323529411765	0.0	GuidanceP	yes	prk	paml
0	0.95	0.323529411765	0.0	GuidanceP	yes	prk	paml
0	0.96	0.323529411765	0.0	GuidanceP	yes	prk	paml
0	0.97	0.323529411765	0.0	GuidanceP	yes	prk	paml
0	0.98	0.294117647059	0.0	GuidanceP	yes	prk	paml
0	0.99	0.264705882353	0.0	GuidanceP	yes	prk	paml
0	1.0	0.0294117647059	0.0	GuidanceP	yes	prk	paml
0	0.0	1.0	1.0	BMweights	no	prk	paml
0	0.01	0.852941176471	0.119638826185	BMweights	no	prk	paml
0	0.02	0.794117647059	0.110609480813	BMweights	no	prk	paml
0	0.03	0.794117647059	0.10158013544	BMweights	no	prk	paml
